Date,key_rate,mortgage_rate
2018-01-01,7.75,9.79
2018-02-01,7.75,9.85
2018-02-12,7.5,9.85
2018-03-01,7.5,9.75
2018-03-26,7.25,9.75
2018-04-01,7.25,9.63
2018-05-01,7.25,9.6
2018-06-01,7.25,9.54
2018-07-01,7.25,9.49
2018-08-01,7.25,9.57
2018-09-01,7.25,9.42
2018-09-17,7.5,9.42
2018-10-01,7.5,9.41
2018-11-01,7.5,9.41
2018-12-01,7.5,9.51
2018-12-17,7.75,9.51
2019-01-01,7.75,9.66
2019-02-01,7.75,9.88
2019-03-01,7.75,10.16
2019-04-01,7.75,10.42
2019-05-01,7.75,10.56
2019-06-01,7.75,10.54
2019-06-17,7.5,10.54
2019-07-01,7.5,10.3
2019-07-29,7.25,10.3
2019-08-01,7.25,10.23
2019-09-01,7.25,9.9
2019-09-09,7.0,9.9
2019-10-01,7.0,9.67
2019-10-28,6.5,9.67
2019-11-01,6.5,9.41
2019-12-01,6.5,9.22
2019-12-16,6.25,9.22
2020-01-01,6.25,9.05
2020-02-01,6.25,8.85
2020-02-10,6.0,8.85
2020-03-01,6.0,8.73
2020-04-01,6.0,8.68
2020-04-27,5.5,8.68
2020-05-01,5.5,8.42
2020-06-01,5.5,7.56
2020-06-22,4.5,7.56
2020-07-01,4.5,7.64
2020-07-27,4.25,7.64
2020-08-01,4.25,7.38
2020-09-01,4.25,7.26
2020-10-01,4.25,7.32
2020-11-01,4.25,7.31
2020-12-01,4.25,7.38
2021-01-01,4.25,7.36
2021-02-01,4.25,7.23
2021-03-01,4.25,7.26
2021-03-22,4.5,7.26
2021-04-01,4.5,7.23
2021-04-26,5.0,7.23
2021-05-01,5.0,7.3
2021-06-01,5.0,7.3
2021-06-15,5.5,7.3
2021-07-01,5.5,7.07
2021-07-26,6.5,7.07
2021-08-01,6.5,7.67
2021-09-01,6.5,7.78
2021-09-13,6.75,7.78
2021-10-01,6.75,7.73
2021-10-25,7.5,7.73
2021-11-01,7.5,7.7
2021-12-01,7.5,7.59
2021-12-20,8.5,7.59
2022-01-01,8.5,7.81
2022-02-01,8.5,7.87
2022-02-11,9.5,7.87
2022-02-28,20.0,7.87
2022-03-01,20.0,8.1
2022-04-01,20.0,8.05
2022-04-11,17.0,8.05
2022-05-01,17.0,7.64
2022-05-04,14.0,7.64
2022-05-27,11.0,7.64
2022-06-01,11.0,6.17
2022-06-14,9.5,6.17
2022-07-01,9.5,6.36
2022-07-25,8.0,6.36
2022-08-01,8.0,6.67
2022-09-01,8.0,6.67
2022-09-19,7.5,6.67
2022-10-01,7.5,6.71
2022-11-01,7.5,7.38
2022-12-01,7.5,7.11
2023-01-01,7.5,6.65
2023-02-01,7.5,7.86
2023-03-01,7.5,8.05
2023-04-01,7.5,8.18
2023-05-01,7.5,8.52
2023-06-01,7.5,8.4
2023-06-09,7.5,8.4
2023-07-01,7.5,8.45
2023-07-21,8.5,8.45
2023-08-01,8.5,8.25
2023-08-15,12.0,8.25
2023-09-01,12.0,8.04
2023-09-15,13.0,8.04
2023-10-01,13.0,7.92
